custom_id,topic,audience
line-0046,الاعتدال في الملبس والمظهر,للطلاب
line-0047,العدل والإنصاف,لرواد الأعمال
line-0048,الكف عن الأذى,للمراهقين
line-0049,محاربة الشح والبخل,للموظفين
line-0050,تصفية القلب من الحقد,للمراهقين
line-0051,حماية البيئة كمسؤولية,للمراهقين
line-0052,الكلمة الطيبة,لرواد الأعمال
line-0053,حفظ الخصوصية,للطلاب
line-0054,إدارة الخلاف,لرواد الأعمال
line-0055,التعليم الذاتي,للآباء والأمهات
line-0056,الأمانة والوفاء,للموظفين
line-0057,الصدق في القول والعمل,للآباء والأمهات
line-0058,آداب النوم,للآباء والأمهات
line-0059,فقه الأولويات,للموظفين
line-0060,التسامح والعفو,للطلاب
line-0061,ضبط اللسان,للآباء والأمهات
line-0062,الشجاعة الأدبية,للآباء والأمهات
line-0063,تخفيف الغضب وكظم الغيظ,للمراهقين
line-0064,المثابرة والاجتهاد,لرواد الأعمال
line-0065,النجاح مع الالتزام بالقيم,للمراهقين
line-0066,سؤال أهل العلم,لرواد الأعمال
line-0067,الستر وعدم فضح الناس,للموظفين
line-0068,الكف عن الأذى,للموظفين
line-0069,البركة في الوقت,للطلاب
line-0070,الصبر على الابتلاء,للآباء والأمهات
line-0071,الصبر في العمل والإنجاز,للطلاب
line-0072,الأخلاق في العالم الرقمي,للمراهقين
line-0073,الحذر من الشبهات,للطلاب
line-0074,النجاح مع الالتزام بالقيم,للموظفين
line-0075,قيام الليل,للآباء والأمهات
line-0076,إدارة الضغوط النفسية,للمراهقين
line-0077,الصحبة الصالحة,للموظفين
line-0078,الرفق بالضعفاء,للمراهقين
line-0079,الثبات على المبدأ,للآباء والأمهات
line-0080,الشجاعة الأدبية,لرواد الأعمال
line-0081,الإحسان في العمل,للطلاب
line-0082,مراقبة النفس,للمراهقين
line-0083,إدارة المال والإنفاق المعتدل,للمراهقين
line-0084,الرفق بالحيوان,للمراهقين
line-0085,الرفق بالحيوان,للموظفين
line-0086,مساعدة المحتاج,لرواد الأعمال
line-0087,آداب النوم,لرواد الأعمال
line-0088,آداب الطريق,للآباء والأمهات
line-0089,الأمانة في التجارة,للطلاب
line-0090,مكانة الأخلاق,للموظفين
line-0091,فضل الدعاء,للموظفين
line-0092,المثابرة والاجتهاد,للآباء والأمهات
line-0093,حماية البيئة كمسؤولية,للموظفين
line-0094,الصدق في القول والعمل,للموظفين
line-0095,حماية البيئة كمسؤولية,للطلاب
line-0096,بركة الصلة بالقرآن,للآباء والأمهات
line-0097,التعاون المثمر,لرواد الأعمال
line-0098,تربية الأبناء بالرحمة,للطلاب
line-0099,الحذر من الشبهات,للمراهقين
line-0100,آداب الطعام,للمراهقين
line-0101,الإحسان إلى الجار,للموظفين
line-0102,الإدارة الحكيمة للوقت,لرواد الأعمال
line-0103,التخطيط للمستقبل,للموظفين
line-0104,الموازنة بين الحقوق والواجبات,للموظفين
line-0105,الالتزام بالوعد,للطلاب
line-0106,التوازن بين الدنيا والآخرة,للمراهقين
line-0107,الصحبة الصالحة,للطلاب
line-0108,الاستعداد للمستقبل,للموظفين
line-0109,الأمانة في التجارة,للموظفين
line-0110,فقه الأولويات,للمراهقين
line-0111,الطمأنينة بالصلاة,للموظفين
line-0112,التواضع وترك الكِبر,للآباء والأمهات
line-0113,تعلم مهارة جديدة,للموظفين
line-0114,الإحسان في العمل,لرواد الأعمال
line-0115,الموازنة بين الحقوق والواجبات,لرواد الأعمال
line-0116,الكلمة الطيبة,للآباء والأمهات
line-0117,مراقبة النفس,للطلاب
line-0118,آداب النوم,للموظفين
line-0119,التثبت من الأخبار,للطلاب
line-0120,تصفية القلب من الحقد,للآباء والأمهات
line-0121,التواضع وترك الكِبر,للموظفين
line-0122,سؤال أهل العلم,للآباء والأمهات
line-0123,التوكل على الله,للمراهقين
line-0124,محاسبة النفس,للطلاب
line-0125,الصدقة وأثرها,للآباء والأمهات
line-0126,الحياء,للموظفين
line-0127,استخدام السوشال ميديا بتوازن,لرواد الأعمال
line-0128,آداب الطريق,لرواد الأعمال
line-0129,طلب العلم,لرواد الأعمال
line-0130,محاسبة النفس,للآباء والأمهات
line-0131,الأمل والتفاؤل,لرواد الأعمال
line-0132,التواضع وترك الكِبر,لرواد الأعمال
line-0133,مراقبة النفس,للآباء والأمهات
line-0134,العدل والإنصاف,للمراهقين
line-0135,الدعاء في السجود,لرواد الأعمال
line-0136,الوقاية من الغيبة والنميمة,للآباء والأمهات
line-0137,الالتزام بالوعد,للموظفين
line-0138,تلاوة القرآن والتدبر,للموظفين
line-0139,الرفق بالضعفاء,للموظفين
line-0140,تلاوة القرآن والتدبر,للمراهقين
line-0141,الصبر على الابتلاء,لرواد الأعمال
line-0142,بر الوالدين,للمراهقين
line-0143,الأمانة والوفاء,للطلاب
line-0144,مساعدة المحتاج,للطلاب
line-0145,الإدارة الحكيمة للوقت,للموظفين
line-0146,علاج التسويف والتأجيل,للموظفين
line-0147,إدارة الضغوط النفسية,للطلاب
line-0148,النجاح مع الالتزام بالقيم,للآباء والأمهات
line-0149,الإصرار على الهدف,للمراهقين
line-0150,العدل والإنصاف,للطلاب
line-0151,تحمل المسؤولية,للموظفين
line-0152,الصدقة وأثرها,للموظفين
line-0153,الكف عن الأذى,للآباء والأمهات
line-0154,الطمأنينة بالصلاة,للمراهقين
line-0155,تلاوة القرآن والتدبر,للآباء والأمهات
line-0156,العمل التطوعي,للمراهقين
line-0157,آداب المزاح,لرواد الأعمال
line-0158,البركة في الوقت,للموظفين
line-0159,الأمانة والوفاء,للمراهقين
line-0160,الثبات على المبدأ,للطلاب
line-0161,حسن الجوار,للمراهقين
line-0162,إدارة الخلاف,للآباء والأمهات
line-0163,الالتزام بالوعد,لرواد الأعمال
line-0164,الدعاء في السجود,للطلاب
line-0165,الأخوة الإيمانية,للطلاب
line-0166,إدارة المال والإنفاق المعتدل,للطلاب
line-0167,تخفيف الغضب وكظم الغيظ,للموظفين
line-0168,تخفيف الغضب وكظم الغيظ,لرواد الأعمال
line-0169,الكف عن الأذى,لرواد الأعمال
line-0170,بر الوالدين,لرواد الأعمال
line-0171,تحمل المسؤولية,للطلاب
line-0172,صلة الرحم,للطلاب
line-0173,الطمأنينة بالصلاة,للطلاب
line-0174,إدارة الخلاف,للطلاب
line-0175,التوازن النفسي,لرواد الأعمال
line-0176,التخطيط للمستقبل,لرواد الأعمال
line-0177,بركة الصلة بالقرآن,للمراهقين
line-0178,آداب الاستئذان,للموظفين
line-0179,الدعاء في السجود,للآباء والأمهات
line-0180,الصداقة الصادقة,للمراهقين
line-0181,الشجاعة الأدبية,للمراهقين
line-0182,بناء عادة القراءة,لرواد الأعمال
line-0183,محاربة الشح والبخل,للطلاب
line-0184,التعليم الذاتي,لرواد الأعمال
line-0185,تنمية العادات الحسنة,للآباء والأمهات
line-0186,مكانة الأخلاق,للآباء والأمهات
line-0187,ضبط اللسان,للطلاب
line-0188,الإدارة الحكيمة للوقت,للطلاب
line-0189,حسن الاستماع,للآباء والأمهات
line-0190,التوكل على الله,للآباء والأمهات
line-0191,تنظيم الأولويات,للآباء والأمهات
line-0192,الاعتدال في الملبس والمظهر,لرواد الأعمال
line-0193,آداب الطعام,للطلاب
line-0194,حماية البيئة كمسؤولية,لرواد الأعمال
line-0195,أدب الحوار,لرواد الأعمال
line-0196,الإحسان في العمل,للمراهقين
line-0197,الإتقان والجودة,للموظفين
line-0198,الكف عن الأذى,للطلاب
line-0199,بناء عادة القراءة,للموظفين
line-0200,الأخوة الإيمانية,للموظفين
line-0201,الصحبة الصالحة,للآباء والأمهات
line-0202,الحذر من الشبهات,للآباء والأمهات
line-0203,آداب المزاح,للموظفين
line-0204,تخفيف الغضب وكظم الغيظ,للطلاب
line-0205,محاربة الشح والبخل,للآباء والأمهات
line-0206,الاستمرار بعد الإخفاق,لرواد الأعمال
line-0207,بركة الصلة بالقرآن,لرواد الأعمال
line-0208,التعاون المثمر,للآباء والأمهات
line-0209,الستر وعدم فضح الناس,لرواد الأعمال
line-0210,تربية الأبناء بالرحمة,للآباء والأمهات
line-0211,الشكر ومقامات الحمد,لرواد الأعمال
line-0212,الأمل والتفاؤل,للطلاب
line-0213,الصبر في العمل والإنجاز,لرواد الأعمال
line-0214,بناء عادة القراءة,للمراهقين
line-0215,الرضا بالقضاء والقدر,لرواد الأعمال
line-0216,تنظيم الأولويات,للطلاب
line-0217,تصفية القلب من الحقد,للموظفين
line-0218,الإصرار على الهدف,للطلاب
line-0219,مكانة الأخلاق,لرواد الأعمال
line-0220,التواضع وترك الكِبر,للطلاب
line-0221,تلاوة القرآن والتدبر,للطلاب
line-0222,تعلم مهارة جديدة,لرواد الأعمال
line-0223,العمل التطوعي,للموظفين
line-0224,الكلمة الطيبة,للموظفين
line-0225,الحلم والأناة,للمراهقين
line-0226,بر الوالدين,للآباء والأمهات
line-0227,حفظ الأمانة,للمراهقين
line-0228,حب الخير للناس,لرواد الأعمال
line-0229,الصمت والحكمة,للمراهقين
line-0230,الأخوة الإيمانية,للمراهقين
line-0231,استخدام السوشال ميديا بتوازن,للآباء والأمهات
line-0232,الرفق بالضعفاء,للآباء والأمهات
line-0233,إدارة المال والإنفاق المعتدل,للآباء والأمهات
line-0234,تنمية التعاطف,للطلاب
line-0235,علاج التسويف والتأجيل,لرواد الأعمال
line-0236,تعظيم النعم بالشكر,للآباء والأمهات
line-0237,النصيحة بآدابها,لرواد الأعمال
line-0238,حسن الاستماع,لرواد الأعمال
line-0239,الإحسان إلى الجار,لرواد الأعمال
line-0240,آداب الطعام,للآباء والأمهات
line-0241,تعظيم النعم بالشكر,للمراهقين
line-0242,مراقبة النفس,للموظفين
line-0243,الموازنة بين الحقوق والواجبات,للآباء والأمهات
line-0244,تربية الأبناء بالرحمة,للمراهقين
line-0245,الاستعداد للمستقبل,للمراهقين
line-0246,تنمية التعاطف,للمراهقين
line-0247,الحذر من الشبهات,لرواد الأعمال
line-0248,حسن الجوار,لرواد الأعمال
line-0249,تحمل المسؤولية,لرواد الأعمال
line-0250,تعظيم النعم بالشكر,لرواد الأعمال
line-0251,ضبط الاستهلاك,للموظفين
line-0252,حفظ الأمانة,للموظفين
line-0253,تنمية العادات الحسنة,لرواد الأعمال
line-0254,الحياء,للطلاب
line-0255,الاستمرار بعد الإخفاق,للآباء والأمهات
line-0256,آداب المزاح,للمراهقين
line-0257,حفظ الأمانة,للطلاب
line-0258,الاعتدال في الملبس والمظهر,للمراهقين
line-0259,التوبة والاستغفار,للمراهقين
line-0260,الصحبة الصالحة,لرواد الأعمال
line-0261,الكلمة الطيبة,للمراهقين
line-0262,حماية البيئة كمسؤولية,للآباء والأمهات
line-0263,العناية بالصحة كأمانة,للآباء والأمهات
line-0264,محاربة الشح والبخل,لرواد الأعمال
line-0265,الصدقة وأثرها,لرواد الأعمال
line-0266,الحياء,للآباء والأمهات
line-0267,الإصرار على الهدف,للآباء والأمهات
line-0268,ضبط الاستهلاك,للآباء والأمهات
line-0269,العناية بالصحة كأمانة,للموظفين
line-0270,الستر وعدم فضح الناس,للمراهقين
line-0271,الاستمرار بعد الإخفاق,للمراهقين
line-0272,حسن الجوار,للآباء والأمهات
line-0273,بناء عادة القراءة,للطلاب
line-0274,قيمة العمل,للآباء والأمهات
line-0275,تنظيم الأولويات,للموظفين
line-0276,قيمة العمل,للطلاب
line-0277,بركة الصلة بالقرآن,للموظفين
line-0278,الموازنة بين الحقوق والواجبات,للمراهقين
line-0279,حفظ الخصوصية,للمراهقين
line-0280,الثقة بالله,للموظفين
line-0281,مكانة الأخلاق,للطلاب
line-0282,البركة في الوقت,للمراهقين
line-0283,الأخلاق في العالم الرقمي,للطلاب
line-0284,الصمت والحكمة,للطلاب
line-0285,الإحسان إلى الأسرة,للمراهقين
line-0286,الأمل والتفاؤل,للموظفين
line-0287,التوازن بين الدنيا والآخرة,للموظفين
line-0288,الستر وعدم فضح الناس,للآباء والأمهات
line-0289,حفظ الأمانة,للآباء والأمهات
line-0290,سؤال أهل العلم,للمراهقين
line-0291,تعلم مهارة جديدة,للطلاب
line-0292,الأمانة والوفاء,للآباء والأمهات
line-0293,تربية الأبناء بالرحمة,لرواد الأعمال
line-0294,التعليم الذاتي,للطلاب
line-0295,التثبت من الأخبار,للموظفين
line-0296,إتقان العمل عن بُعد,للآباء والأمهات
line-0297,الإصرار على الهدف,للموظفين
line-0298,الإحسان إلى الأسرة,للطلاب
line-0299,الإخلاص وصحة النية,للآباء والأمهات
line-0300,تنمية التعاطف,لرواد الأعمال
line-0301,محاربة الشح والبخل,للمراهقين
line-0302,الصدقة وأثرها,للطلاب
line-0303,الأمل والتفاؤل,للآباء والأمهات
line-0304,احترام الوقت والمواعيد,لرواد الأعمال
line-0305,بناء عادة القراءة,للآباء والأمهات
line-0306,التواضع وترك الكِبر,للمراهقين
line-0307,الشكر ومقامات الحمد,للمراهقين
line-0308,الاعتدال في الملبس والمظهر,للموظفين
line-0309,التثبت من الأخبار,للآباء والأمهات
line-0310,العناية بالصحة كأمانة,للمراهقين
line-0311,الإحسان إلى الجار,للآباء والأمهات
line-0312,العناية بالصحة كأمانة,لرواد الأعمال
line-0313,الأمانة والوفاء,لرواد الأعمال
line-0314,حفظ الخصوصية,للآباء والأمهات
line-0315,آداب الطريق,للموظفين
line-0316,فضل الدعاء,للآباء والأمهات
line-0317,تنمية التعاطف,للموظفين
line-0318,حسن الجوار,للطلاب
line-0319,التوازن النفسي,للموظفين
line-0320,الصبر على الابتلاء,للطلاب
line-0321,احترام الوقت والمواعيد,للموظفين
line-0322,الرضا بالقضاء والقدر,للموظفين
line-0323,الإخلاص وصحة النية,لرواد الأعمال
line-0324,الصبر في العمل والإنجاز,للموظفين
line-0325,استخدام السوشال ميديا بتوازن,للموظفين
line-0326,تعظيم النعم بالشكر,للطلاب
line-0327,بركة الصلة بالقرآن,للطلاب
line-0328,تنظيم الأولويات,للمراهقين
line-0329,تصفية القلب من الحقد,للطلاب
line-0330,فقه الأولويات,لرواد الأعمال
line-0331,سؤال أهل العلم,للطلاب
line-0332,التسامح والعفو,للآباء والأمهات
line-0333,النصيحة بآدابها,للآباء والأمهات
line-0334,محاسبة النفس,للموظفين
line-0335,النصيحة بآدابها,للموظفين
line-0336,تعلم مهارة جديدة,للآباء والأمهات
line-0337,الصبر على الابتلاء,للموظفين
line-0338,ضبط الاستهلاك,للمراهقين
line-0339,الإخلاص وصحة النية,للطلاب
line-0340,حفظ الأمانة,لرواد الأعمال
line-0341,المثابرة والاجتهاد,للمراهقين
line-0342,ضبط اللسان,لرواد الأعمال
line-0343,إتقان العمل عن بُعد,لرواد الأعمال
line-0344,آداب الاستئذان,للمراهقين
line-0345,آداب المزاح,للطلاب
line-0346,حسن الاستماع,للمراهقين
line-0347,ضبط اللسان,للمراهقين
line-0348,فضل الدعاء,للطلاب
line-0349,الثبات على المبدأ,للمراهقين
line-0350,الوقاية من الغيبة والنميمة,للمراهقين
line-0351,احترام الوقت والمواعيد,للطلاب
line-0352,حب الخير للناس,للآباء والأمهات
line-0353,الأخلاق في العالم الرقمي,للموظفين
line-0354,النجاح مع الالتزام بالقيم,للطلاب
line-0355,النجاح مع الالتزام بالقيم,لرواد الأعمال
line-0356,قيمة العمل,لرواد الأعمال
line-0357,التوازن النفسي,للطلاب
line-0358,إتقان العمل عن بُعد,للمراهقين
line-0359,مساعدة المحتاج,للمراهقين
line-0360,الموازنة بين الحقوق والواجبات,للطلاب
line-0361,المثابرة والاجتهاد,للموظفين
line-0362,الإدارة الحكيمة للوقت,للمراهقين
line-0363,ضبط اللسان,للموظفين
line-0364,صلة الرحم,للآباء والأمهات
line-0365,التوبة والاستغفار,للموظفين
line-0366,الرفق بالضعفاء,لرواد الأعمال
line-0367,الستر وعدم فضح الناس,للطلاب
line-0368,طلب العلم,للطلاب
line-0369,الإصرار على الهدف,لرواد الأعمال
line-0370,التعليم الذاتي,للمراهقين
line-0371,الرفق بالحيوان,للآباء والأمهات
line-0372,التخطيط للمستقبل,للمراهقين
line-0373,الصداقة الصادقة,للآباء والأمهات
line-0374,التخطيط للمستقبل,للآباء والأمهات
line-0375,الطمأنينة بالصلاة,للآباء والأمهات
line-0376,الرضا بالقضاء والقدر,للطلاب
line-0377,تعظيم النعم بالشكر,للموظفين
line-0378,الوقاية من الغيبة والنميمة,للموظفين
line-0379,الإحسان إلى الأسرة,للآباء والأمهات
line-0380,التعاون المثمر,للمراهقين
line-0381,طلب العلم,للمراهقين
line-0382,التوازن بين الدنيا والآخرة,للآباء والأمهات
line-0383,آداب الاستئذان,للآباء والأمهات
line-0384,الرفق بالحيوان,لرواد الأعمال
line-0385,النصيحة بآدابها,للطلاب
line-0386,آداب النوم,للطلاب
line-0387,تحمل المسؤولية,للمراهقين
line-0388,علاج التسويف والتأجيل,للآباء والأمهات
line-0389,حفظ الخصوصية,لرواد الأعمال
line-0390,الاستمرار بعد الإخفاق,للطلاب
line-0391,الحياء,للمراهقين
line-0392,قيمة العمل,للمراهقين
line-0393,قيام الليل,لرواد الأعمال
line-0394,الكلمة الطيبة,للطلاب
line-0395,العدل والإنصاف,للموظفين
line-0396,الاستعداد للمستقبل,للآباء والأمهات
line-0397,الصمت والحكمة,لرواد الأعمال
line-0398,الإحسان إلى الجار,للمراهقين
line-0399,الثقة بالله,لرواد الأعمال
line-0400,علاج التسويف والتأجيل,للمراهقين
line-0401,حسن الجوار,للموظفين
line-0402,العمل التطوعي,للطلاب
line-0403,إدارة الضغوط النفسية,للآباء والأمهات
line-0404,الإتقان والجودة,للطلاب
line-0405,العمل التطوعي,لرواد الأعمال
line-0406,آداب الاستئذان,لرواد الأعمال
line-0407,قيام الليل,للمراهقين
line-0408,تنمية العادات الحسنة,للطلاب
line-0409,حب الخير للناس,للموظفين
line-0410,ضبط الاستهلاك,للطلاب
line-0411,الوقاية من الغيبة والنميمة,للطلاب
line-0412,التعاون المثمر,للطلاب
line-0413,احترام الوقت والمواعيد,للمراهقين
line-0414,مراقبة النفس,لرواد الأعمال
line-0415,ضبط الاستهلاك,لرواد الأعمال
line-0416,الشجاعة الأدبية,للموظفين
line-0417,التوكل على الله,للموظفين
line-0418,آداب الطعام,للموظفين
line-0419,مساعدة المحتاج,للآباء والأمهات
line-0420,تنظيم الأولويات,لرواد الأعمال
line-0421,قيام الليل,للموظفين
line-0422,آداب الطريق,للمراهقين
line-0423,الحياء,لرواد الأعمال
line-0424,إدارة الخلاف,للموظفين
line-0425,أدب الحوار,للآباء والأمهات
line-0426,الإخلاص وصحة النية,للمراهقين
line-0427,أدب الحوار,للموظفين
line-0428,آداب الاستئذان,للطلاب
line-0429,التوازن بين الدنيا والآخرة,لرواد الأعمال
line-0430,إتقان العمل عن بُعد,للموظفين
line-0431,الاعتدال في الملبس والمظهر,للآباء والأمهات
line-0432,التسامح والعفو,للموظفين
line-0433,الاستعداد للمستقبل,للطلاب
line-0434,حسن الاستماع,للطلاب
line-0435,الدعاء في السجود,للمراهقين
line-0436,الثقة بالله,للطلاب
line-0437,الصمت والحكمة,للموظفين
line-0438,آداب النوم,للمراهقين
line-0439,صلة الرحم,للمراهقين
line-0440,التوكل على الله,للطلاب
line-0441,استخدام السوشال ميديا بتوازن,للطلاب
line-0442,الصحبة الصالحة,للمراهقين
line-0443,التخطيط للمستقبل,للطلاب
line-0444,أدب الحوار,للطلاب
line-0445,التعليم الذاتي,للموظفين
line-0446,الحذر من الشبهات,للموظفين
line-0447,سؤال أهل العلم,للموظفين
line-0448,آداب المزاح,للآباء والأمهات
line-0449,فقه الأولويات,للطلاب
line-0450,الثبات على المبدأ,لرواد الأعمال
line-0451,الشكر ومقامات الحمد,للطلاب
line-0452,الصبر في العمل والإنجاز,للمراهقين
line-0453,الأمل والتفاؤل,للمراهقين
line-0454,احترام الوقت والمواعيد,للآباء والأمهات
line-0455,حب الخير للناس,للطلاب
line-0456,تعلم مهارة جديدة,للمراهقين
line-0457,صلة الرحم,لرواد الأعمال
line-0458,الأمانة في التجارة,للمراهقين
line-0459,قيام الليل,للطلاب
line-0460,التوازن النفسي,للآباء والأمهات
line-0461,الإحسان في العمل,للموظفين
line-0462,تنمية العادات الحسنة,للمراهقين
line-0463,إدارة الخلاف,للمراهقين
line-0464,التوبة والاستغفار,للآباء والأمهات
line-0465,الصبر في العمل والإنجاز,للآباء والأمهات
line-0466,الاستعداد للمستقبل,لرواد الأعمال
line-0467,الإحسان إلى الأسرة,لرواد الأعمال
line-0468,البركة في الوقت,لرواد الأعمال
line-0469,علاج التسويف والتأجيل,للطلاب
line-0470,الحلم والأناة,للطلاب
line-0471,الإدارة الحكيمة للوقت,للآباء والأمهات
line-0472,إدارة الضغوط النفسية,للموظفين
line-0473,البركة في الوقت,للآباء والأمهات
line-0474,الصدق في القول والعمل,للطلاب
line-0475,الأخلاق في العالم الرقمي,لرواد الأعمال
line-0476,الإخلاص وصحة النية,للموظفين
line-0477,الأمانة في التجارة,لرواد الأعمال
line-0478,التثبت من الأخبار,للمراهقين
line-0479,الصبر على الابتلاء,للمراهقين
line-0480,المثابرة والاجتهاد,للطلاب
line-0481,الأمانة في التجارة,للآباء والأمهات
line-0482,تلاوة القرآن والتدبر,لرواد الأعمال
line-0483,إدارة المال والإنفاق المعتدل,للموظفين
line-0484,الالتزام بالوعد,للآباء والأمهات
line-0485,الحلم والأناة,لرواد الأعمال
line-0486,تخفيف الغضب وكظم الغيظ,للآباء والأمهات
line-0487,الصدق في القول والعمل,للمراهقين
line-0488,الأخلاق في العالم الرقمي,للآباء والأمهات
line-0489,آداب الطعام,لرواد الأعمال
line-0490,حفظ الخصوصية,للموظفين
line-0491,تربية الأبناء بالرحمة,للموظفين
line-0492,الإتقان والجودة,لرواد الأعمال
line-0493,مكانة الأخلاق,للمراهقين
line-0494,التوازن النفسي,للمراهقين
line-0495,النصيحة بآدابها,للمراهقين
line-0496,الصمت والحكمة,للآباء والأمهات
line-0497,الحلم والأناة,للموظفين
line-0498,التوبة والاستغفار,لرواد الأعمال
line-0499,بر الوالدين,للطلاب
line-0500,بر الوالدين,للموظفين
